Size,Length_STD,Length_ADV,CR_STD,CR_ADV
507, 4099056, 3153120, 1.8707858589880206, 2.432021616684427
508, 4098354, 3152580, 1.8711063026766355, 2.4324381934796264
509, 4097496, 3151920, 1.8714981051842394, 2.432947536739511
510, 4096482, 3151140, 1.87196135610995, 2.433549762942935
511, 4095676, 3150520, 1.8723297448333316, 2.434028668283331
512, 4409524, 3464626, 1.7390666203426945, 2.213357516799793
513, 4408516, 3463834, 1.739464255091736, 2.2138635973894822
514, 4407368, 3462932, 1.7399173384205722, 2.21444024889891
515, 4405968, 3461832, 1.7404701986033488, 2.215143889131535
516, 4404792, 3460908, 1.7409348727476803, 2.2157352925879565
517, 4403840, 3460160, 1.7413112192995204, 2.2162142791084807
518, 4402468, 3459082, 1.7418538874104252, 2.2169049476132683
519, 4401516, 3458334, 1.7422306314460745, 2.2173844400222764
520, 4400368, 3457432, 1.7426851572413944, 2.2179629273981383
521, 4399332, 3456618, 1.7430955426869352, 2.2184852361470084
522, 4398324, 3455826, 1.7434950221948178, 2.2189936646115864
523, 4397344, 3455056, 1.7438835806341282, 2.219488193534345
524, 4396308, 3454242, 1.7442945307744588, 2.220011220985675
525, 4395216, 3453384, 1.7447279041576114, 2.2205627871096874
526, 4394152, 3452548, 1.74515037258611, 2.2211004742005036
527, 4392864, 3451536, 1.7456620555519133, 2.2217517070660713
528, 4391800, 3450700, 1.7460849765472015, 2.222289970150984
529, 4390652, 3449798, 1.7465415159297526, 2.2228710202742303
530, 4389616, 3448984, 1.7469537198698017, 2.2233956434706568
531, 4388216, 3447884, 1.7475110614427367, 2.224104987290756
532, 4387208, 3447092, 1.7479125676284324, 2.2246159951634596
533, 4386256, 3446344, 1.7482919373607013, 2.2250988293681653
534, 4385248, 3445552, 1.7486938024941805, 2.2256102940835025
535, 4383932, 3444518, 1.7492187378818833, 2.2262783936678514
536, 4381412, 3442538, 1.7502248133706668, 2.227558853380849
537, 4380152, 3441548, 1.7507282852284578, 2.2281996357453098
538, 4378584, 3440316, 1.7513552326505555, 2.22899756882798
539, 4377520, 3439480, 1.7517809170489227, 2.229539348971356
540, 4376624, 3438776, 1.7521395486566815, 2.2299957891994127
541, 4375532, 3437918, 1.752576829514674, 2.2305523284732214
542, 4374608, 3437192, 1.7529470069089619, 2.231023463338679
543, 4373348, 3436202, 1.7534520463498446, 2.231666240808893
544, 4372312, 3435388, 1.753867519060854, 2.2321950242592687
545, 4371472, 3434728, 1.7542045333928709, 2.2326239515909267
546, 4370660, 3434090, 1.7545304370506971, 2.233038738064524
547, 4369596, 3433254, 1.7549576665668862, 2.2335824847214916
548, 4368616, 3432484, 1.7553513515493235, 2.234083538335503
549, 4367328, 3431472, 1.7558690347965622, 2.234742407922897
550, 4366348, 3430702, 1.7562631288206987, 2.235243982135435
551, 4365312, 3429888, 1.7566799349049964, 2.235774462606359
552, 4363996, 3428854, 1.7572096766358172, 2.2364486793546767
553, 4363044, 3428106, 1.7575930932624104, 2.2369366641521586
554, 4362204, 3427446, 1.7579315410283425, 2.237367415854254
555, 4361084, 3426566, 1.7583830075274862, 2.237942009580437
556, 4360384, 3426016, 1.7586652918642027, 2.23830128055444
557, 4359544, 3425356, 1.7590041527279, 2.238732558017327
558, 4358508, 3424542, 1.7594222610122547, 2.2392646958337785
559, 4357388, 3423662, 1.7598744936186541, 2.2398402646055597
560, 4356268, 3422782, 1.760326958763786, 2.2404161293357276
561, 4355092, 3421858, 1.7608022976322888, 2.2410211060774583
562, 4353888, 3420912, 1.761289220117743, 2.2416408256044003
563, 4352964, 3420186, 1.761663087496244, 2.242116656813401
564, 4351788, 3419262, 1.7621391483224826, 2.2427225524104326
565, 4350724, 3418426, 1.7625700917824252, 2.243271025904905
566, 4349828, 3417722, 1.7629331550580851, 2.243733106437563
567, 4348820, 3416930, 1.7633417800690763, 2.2442531746333696
568, 4347728, 3416072, 1.7637846709821774, 2.2448168539773166
569, 4346748, 3415302, 1.764182326649716, 2.245322961190548
570, 4345908, 3414642, 1.7645233171065748, 2.2457569490447313
571, 4344368, 3413432, 1.7651488087565326, 2.246553029326496
572, 4343164, 3412486, 1.7656381384631112, 2.2471758125894143
573, 4342352, 3411848, 1.7659683047343928, 2.247596024207409
574, 4341316, 3411034, 1.766389730671529, 2.2481323844910373
575, 4340448, 3410352, 1.7667429721540264, 2.24858196455967
576, 4339804, 3409846, 1.7670051458545133, 2.2489156401784713
577, 4339020, 3409230, 1.7673244188779955, 2.249321987662903
578, 4338180, 3408570, 1.7676666251746125, 2.2497575229495066
579, 4337340, 3407910, 1.768008964019422, 2.25019322693381
580, 4336248, 3407052, 1.7684542028038988, 2.250759894477689
581, 4335464, 3406436, 1.768773999737975, 2.2511669087574226
582, 4334596, 3405754, 1.7691281955688605, 2.2516177034512768
583, 4333476, 3404874, 1.769585432110389, 2.252199640867768
584, 4332832, 3404368, 1.769848450159157, 2.252534391111654
585, 4331740, 3403510, 1.770294616020352, 2.253102238571357
586, 4330788, 3402762, 1.7706837647097942, 2.253597518721556
587, 4329192, 3401508, 1.7713365450181005, 2.2544283300230368
588, 4327792, 3400408, 1.7719095557272624, 2.255157616380152
589, 4326812, 3399638, 1.7723108838562895, 2.2556683976352776
590, 4325888, 3398912, 1.7726894454965085, 2.2561502033591925
591, 4324992, 3398208, 1.7730566900470568, 2.256617605514436
592, 4324236, 3397614, 1.7733666710142555, 2.257012126745416
593, 4323340, 3396910, 1.7737341962464206, 2.257479886131808
594, 4322304, 3396096, 1.7741593372423596, 2.2580209746720943
595, 4321660, 3395590, 1.7744237168125212, 2.2583574577613903
596, 4320960, 3395040, 1.774711175294379, 2.2587233140110277
597, 4319700, 3394050, 1.7752288353357872, 2.2593821540637293
598, 4318552, 3393148, 1.775700744138313, 2.259982765266944
599, 4317768, 3392532, 1.7760231675254436, 2.26039312230511
600, 4316984, 3391916, 1.7763457080220821, 2.260803628391741
601, 4316116, 3391234, 1.776702943109036, 2.2612582912296824
602, 4315360, 3390640, 1.777014200437507, 2.2616544369204634
603, 4314548, 3390002, 1.7773486353611085, 2.2620800813686834
604, 4313484, 3389166, 1.7777870510241838, 2.2626380649398703
605, 4312756, 3388594, 1.778087144276189, 2.263020001806059
606, 4311832, 3387868, 1.7784681777954243, 2.263504953557813
607, 4311048, 3387252, 1.778791607052392, 2.2639165907939534
608, 4310264, 3386636, 1.7791151539673673, 2.264328377776649
609, 4309144, 3385756, 1.7795775680738448, 2.264916904821257
610, 4308052, 3384898, 1.7800286533217333, 2.2654910133185697
611, 4307072, 3384128, 1.780433668162501, 2.266006486752274
612, 4306260, 3383490, 1.7807693915369718, 2.266433771047055
613, 4305364, 3382786, 1.7811399918798967, 2.266905444210778
614, 4304804, 3382346, 1.7813716954360757, 2.2672003396459144
615, 4303852, 3381598, 1.781765729862458, 2.267701838006765
616, 4302704, 3380696, 1.7822411209323255, 2.268306881186596
617, 4301668, 3379882, 1.782670350199039, 2.268853172980595
618, 4300604, 3379046, 1.7831113955156066, 2.269414503383499
619, 4299792, 3378408, 1.7834481295839426, 2.269843074015927
620, 4298924, 3377726, 1.7838082273610791, 2.270301380277737
621, 4297888, 3376912, 1.784238211884535, 2.27084863330759
622, 4297132, 3376318, 1.7845521152247592, 2.2712481466496937
623, 4296236, 3375614, 1.78492429186851, 2.2717218260144674
624, 4295536, 3375064, 1.7852151629040007, 2.272092025514183
625, 4294724, 3374426, 1.7855526920938343, 2.2725216081194253
626, 4294024, 3373876, 1.7858437679901185, 2.2728920683510596
627, 4292988, 3373062, 1.7862747345205716, 2.2734405712080004
628, 4292036, 3372314, 1.7866709412502597, 2.2739448343185122
629, 4291112, 3371588, 1.7870556629610226, 2.2744344801322107
630, 4290020, 3370730, 1.7875105477363742, 2.275013424391749
631, 4289432, 3370268, 1.7877555816247932, 2.275325285704282
632, 4288648, 3369652, 1.7880823979958254, 2.2757412338128686
633, 4287976, 3369124, 1.7883626214325827, 2.276097881823287
634, 4287052, 3368398, 1.7887480721017612, 2.2765884554022415
635, 4286128, 3367672, 1.7891336889612257, 2.2770792404961053
636, 4285064, 3366836, 1.7895779386258874, 2.2776446491602202
637, 4284112, 3366088, 1.7899756122155537, 2.278150779183432
638, 4283244, 3365406, 1.790338351025531, 2.278612446759767
639, 4282460, 3364790, 1.7906661124680674, 2.2790295976866313
640, 4281396, 3363954, 1.7911111235681072, 2.2795959754503183
641, 4280920, 3363580, 1.7913102790988853, 2.279849446125854
642, 4280304, 3363096, 1.79156807553856, 2.28017755068544
643, 4279576, 3362524, 1.7918728397392638, 2.2805654323954268
644, 4278904, 3361996, 1.7921542525843066, 2.2809235941982084
645, 4278064, 3361336, 1.792506142965603, 2.281371454683495
646, 4277056, 3360544, 1.792928593873917, 2.2819091194758943
